,TF_IDF_test_scores
210,0.8116113744075829
211,0.8111733490566038
212,0.8104460093896714
213,0.8106016355140186
214,0.8106104651162791
215,0.8109085648148148
216,0.8112039170506913
217,0.8114965596330275
218,0.8115011415525114
219,0.8113636363636364
220,0.8108031674208145
221,0.8112331081081081
222,0.8109585201793722
223,0.8106863839285714
224,0.8105555555555556
225,0.8102876106194691
226,0.8104350220264317
227,0.8105811403508771
228,0.8111353711790393
229,0.811141304347826
230,0.8112824675324676
231,0.8114224137931034
232,0.8118293991416309
233,0.811698717948718
234,0.8123670212765958
235,0.8122351694915254
236,0.8123681434599156
237,0.8126313025210085
238,0.8126307531380753
239,0.8125
240,0.8125
241,0.8121126033057852
242,0.8117283950617284
243,0.811219262295082
244,0.8110969387755103
245,0.8111026422764228
246,0.8109817813765182
247,0.8111139112903226
248,0.8111194779116466
249,0.811125
250,0.8112549800796812
251,0.8108878968253969
252,0.8112648221343873
253,0.81126968503937
254,0.8115196078431373
255,0.8116455078125
256,0.8115272373540856
257,0.8114098837209303
258,0.8116554054054054
259,0.8115384615384615
260,0.8111829501915708
261,0.8113072519083969
262,0.8113117870722434
263,0.8113162878787878
264,0.811438679245283
265,0.8113251879699248
266,0.8117977528089888
267,0.8112173507462687
268,0.8113382899628253
269,0.8109953703703704
270,0.8110009225092251
271,0.8113511029411765
272,0.8114697802197802
273,0.8119297445255474
274,0.8120454545454545
275,0.8118206521739131
276,0.8120487364620939
277,0.8120503597122302
278,0.8123879928315412
279,0.8126116071428572
280,0.8126112099644128
281,0.8125
282,0.8127208480565371
283,0.8128301056338029
284,0.8130482456140351
285,0.8133741258741258
286,0.8132621951219512
287,0.8130425347222222
288,0.8126081314878892
289,0.8127155172413794
290,0.8128221649484536
291,0.813035102739726
292,0.8129266211604096
293,0.8129251700680272
294,0.8128177966101695
295,0.8127111486486487
296,0.8125
297,0.8126048657718121
298,0.8128135451505016
299,0.8123958333333333
300,0.81218853820598
301,0.8121895695364238
302,0.8126031353135313
303,0.8123972039473685
304,0.8126024590163935
305,0.8126021241830066
306,0.8129071661237784
307,0.8132102272727273
308,0.8134101941747572
309,0.8134072580645161
310,0.8137057877813505
311,0.8136017628205128
312,0.8137
