,TF_IDF_test_scores
0,0.875
1,0.859375
2,0.8333333333333334
3,0.859375
4,0.85625
5,0.84375
6,0.8258928571428571
7,0.80859375
8,0.7951388888888888
9,0.8
10,0.7954545454545454
11,0.8020833333333334
12,0.8100961538461539
13,0.8102678571428571
14,0.8041666666666667
15,0.802734375
16,0.7996323529411765
17,0.796875
18,0.7960526315789473
19,0.8015625
20,0.7991071428571429
21,0.8025568181818182
22,0.8097826086956522
23,0.8033854166666666
24,0.8025
25,0.8064903846153846
26,0.8101851851851852
27,0.8136160714285714
28,0.8157327586206896
29,0.815625
30,0.8145161290322581
31,0.8134765625
32,0.8134469696969697
33,0.8134191176470589
34,0.8116071428571429
35,0.8151041666666666
36,0.8125
37,0.8100328947368421
38,0.8125
39,0.8125
40,0.8094512195121951
41,0.8095238095238095
42,0.8088662790697675
43,0.8075284090909091
44,0.8097222222222222
45,0.8097826086956522
46,0.8125
47,0.8111979166666666
48,0.8137755102040817
49,0.813125
50,0.8137254901960784
51,0.8112980769230769
52,0.8095518867924528
53,0.8084490740740741
54,0.8096590909090909
55,0.8074776785714286
56,0.8097587719298246
57,0.8092672413793104
58,0.8114406779661016
59,0.8135416666666667
60,0.8130122950819673
61,0.8109879032258065
62,0.8115079365079365
63,0.8115234375
64,0.8115384615384615
65,0.8129734848484849
66,0.8148320895522388
67,0.8143382352941176
68,0.811141304347826
69,0.8120535714285714
70,0.8120598591549296
71,0.8120659722222222
72,0.8120719178082192
73,0.8129222972972973
74,0.8125
75,0.8116776315789473
76,0.8120941558441559
77,0.8108974358974359
78,0.8113132911392406
79,0.8109375
80,0.8097993827160493
81,0.8102134146341463
82,0.8094879518072289
83,0.8095238095238095
84,0.8091911764705882
85,0.8085029069767442
86,0.8085488505747126
87,0.8082386363636364
88,0.807935393258427
89,0.8079861111111111
90,0.8073489010989011
91,0.8080842391304348
92,0.8088037634408602
93,0.8085106382978723
94,0.8085526315789474
95,0.8076171875
96,0.8060567010309279
97,0.8067602040816326
98,0.8071338383838383
99,0.80875
100,0.8090965346534653
101,0.8097426470588235
102,0.810376213592233
103,0.8100961538461539
104,0.8095238095238095
105,0.8101415094339622
106,0.8107476635514018
107,0.8101851851851852
108,0.810493119266055
109,0.8088068181818182
110,0.8096846846846847
111,0.8097098214285714
112,0.8100110619469026
113,0.8097587719298246
114,0.8092391304347826
115,0.8092672413793104
