,COUNT_VEC_test_scores
0,0.90625
1,0.921875
2,0.9479166666666666
3,0.9140625
4,0.9
5,0.9010416666666666
6,0.8839285714285714
7,0.8671875
8,0.8576388888888888
9,0.85625
10,0.8494318181818182
11,0.8489583333333334
12,0.8461538461538461
13,0.8370535714285714
14,0.8395833333333333
15,0.8359375
16,0.8308823529411765
17,0.8263888888888888
18,0.8273026315789473
19,0.828125
20,0.8244047619047619
21,0.8252840909090909
22,0.8233695652173914
23,0.8229166666666666
24,0.825
25,0.8233173076923077
26,0.8194444444444444
27,0.8203125
28,0.8243534482758621
29,0.821875
30,0.8256048387096774
31,0.8271484375
32,0.8267045454545454
33,0.8272058823529411
34,0.8241071428571428
35,0.8229166666666666
36,0.8201013513513513
37,0.819078947368421
38,0.8189102564102564
39,0.8171875
40,0.8178353658536586
41,0.8169642857142857
42,0.8175872093023255
43,0.8188920454545454
44,0.8159722222222222
45,0.8165760869565217
46,0.817154255319149
47,0.8170572916666666
48,0.8144132653061225
49,0.811875
50,0.8137254901960784
51,0.8106971153846154
52,0.8136792452830188
53,0.8153935185185185
54,0.8159090909090909
55,0.8169642857142857
56,0.8174342105263158
57,0.8157327586206896
58,0.8177966101694916
59,0.8182291666666667
60,0.8186475409836066
61,0.8170362903225806
62,0.8159722222222222
63,0.81591796875
64,0.8168269230769231
65,0.8162878787878788
66,0.8171641791044776
67,0.8152573529411765
68,0.8161231884057971
69,0.8160714285714286
70,0.8151408450704225
71,0.8159722222222222
72,0.8163527397260274
73,0.816722972972973
74,0.8166666666666667
75,0.8170230263157895
76,0.8153409090909091
77,0.8161057692307693
78,0.8164556962025317
79,0.816015625
80,0.8159722222222222
81,0.8155487804878049
82,0.8147590361445783
83,0.8154761904761905
84,0.8158088235294118
85,0.8164970930232558
86,0.8150143678160919
87,0.8146306818181818
88,0.8142556179775281
89,0.8138888888888889
90,0.8145604395604396
91,0.8148777173913043
92,0.8155241935483871
93,0.8154920212765957
94,0.8157894736842105
95,0.8160807291666666
96,0.8163659793814433
97,0.8166454081632653
98,0.8175505050505051
99,0.8175
100,0.817759900990099
101,0.8180147058823529
102,0.818871359223301
103,0.8191105769230769
104,0.819047619047619
105,0.8195754716981132
106,0.8186331775700935
107,0.8179976851851852
108,0.8188073394495413
109,0.81875
110,0.8198198198198198
111,0.8208705357142857
112,0.8194137168141593
113,0.8182565789473685
114,0.8184782608695652
115,0.8186961206896551
116,0.8181089743589743
117,0.8177966101694916
118,0.8159138655462185
119,0.8158854166666667
120,0.8158574380165289
121,0.8163422131147541
122,0.8163109756097561
123,0.8162802419354839
124,0.81575
125,0.816468253968254
126,0.8159448818897638
127,0.81591796875
128,0.8158914728682171
129,0.8149038461538461
130,0.8144083969465649
131,0.8151041666666666
132,0.8155545112781954
133,0.8152985074626866
134,0.8145833333333333
135,0.8147977941176471
136,0.8150091240875912
137,0.8149909420289855
138,0.8154226618705036
139,0.8140625
140,0.8140514184397163
141,0.8138204225352113
142,0.8140297202797203
143,0.8135850694444444
144,0.813146551724138
145,0.813570205479452
146,0.8131377551020408
147,0.8129222972972973
148,0.8125
149,0.8125
150,0.8122930463576159
151,0.8120888157894737
152,0.8125
153,0.8129058441558441
154,0.8125
155,0.8127003205128205
156,0.8126990445859873
157,0.8128955696202531
158,0.8128930817610063
159,0.812890625
160,0.813082298136646
161,0.8134645061728395
162,0.8138420245398773
163,0.813452743902439
164,0.8132575757575757
165,0.8128765060240963
166,0.813248502994012
167,0.8136160714285714
168,0.8136094674556213
169,0.8132352941176471
170,0.8134137426900585
171,0.813953488372093
172,0.8134031791907514
173,0.813757183908046
174,0.8141071428571428
175,0.8140980113636364
176,0.8135593220338984
177,0.8132022471910112
178,0.8140712290502793
179,0.8142361111111112
180,0.8137085635359116
181,0.814217032967033
182,0.8143784153005464
183,0.8140285326086957
184,0.8140202702702702
185,0.8145161290322581
186,0.8138368983957219
187,0.8139960106382979
188,0.8139880952380952
189,0.8143092105263158
190,0.8146269633507853
191,0.8151041666666666
192,0.8150906735751295
193,0.8150773195876289
194,0.8145833333333333
195,0.8142538265306123
196,0.8147208121827412
197,0.8143939393939394
198,0.8145414572864321
199,0.81453125
200,0.8149875621890548
201,0.8146658415841584
202,0.8145012315270936
