,TF_IDF_train_loss,TF_IDF_val_loss,TF_IDF_recall_train,TF_IDF_recall_val
0,1.4516529449568545,0.8487957861534384,0.45847418912745547,0.6993058092802338
1,0.8490589760656607,0.7770124867905018,0.7068067610781179,0.7303617099013519
2,0.7802976242133549,0.691150231763374,0.7246231155778895,0.7720131530873219
3,0.7259449940120514,0.723671943988911,0.739333028780265,0.7497259773474607
4,0.7022750823820992,0.6468598367862923,0.7435358611238008,0.7848008768724881
5,0.6761799699711035,0.6127667059732038,0.7498401096391046,0.7899159663865546
6,0.6716368478606115,0.6182295179297758,0.7569666514390132,0.7928388746803069
7,0.65097814172767,0.6339710706541705,0.7613522156235724,0.7774936061381074
8,0.6380445630922262,0.6156418910899828,0.7683873915029694,0.7950310559006211
9,0.6329047647752846,0.6022680974457153,0.7637277295568753,0.8008768724881257
10,0.6217093866524821,0.6014897600682669,0.769026952946551,0.7972232371209353
11,0.6227096610046847,0.6059186990524448,0.7682960255824578,0.793569601753745
12,0.6018664334675313,0.597623178951962,0.773686614892645,0.8016075995615638
13,0.6046458573105037,0.5964364101027333,0.7720420283234354,0.793569601753745
14,0.5917248582961608,0.6038353771491106,0.7793513019643673,0.7953964194373402
15,0.6007686117473914,0.5831019275410231,0.7730470534490635,0.8070880526123493
16,0.6004685900301697,0.6005712430491004,0.7727729556875286,0.803799780781878
17,0.5873719811680788,0.6260331906378269,0.7788944723618091,0.7957617829740592
18,0.577932617059602,0.6193099891723588,0.7800822293284605,0.7964925100474972
19,0.5753733455352811,0.6022371354317942,0.7839195979899497,0.8027036901717208
20,0.5754624483102264,0.5967156757102456,0.7836455002284148,0.7953964194373402
21,0.580945150888696,0.659519879883805,0.7819095477386935,0.7921081476068689
22,0.5649845074894825,0.6083317887644435,0.7827318410232983,0.803434417245159
23,0.5671369259954367,0.6111238045228082,0.7820009136592051,0.8023383266350018
24,0.5557691069465915,0.6321905399997567,0.7837368661489265,0.804530507855316
25,0.5511995879363041,0.6165621308393257,0.7921425308359982,0.8052612349287541
26,0.5609413318922499,0.599718261943307,0.7855641845591594,0.8070880526123493
27,0.55370040578936,0.5801592521196188,0.7879396984924623,0.8103763244428206
28,0.5499152133659441,0.6100430875843348,0.7871174052078574,0.8067226890756303
29,0.5447086120898627,0.6595529234686563,0.788031064412974,0.782974059188893
