,BOW_train_loss,BOW_val_loss,BOW_recall_train,BOW_recall_val
0,0.9203397912290979,0.615392651322276,0.6825947921425308,0.7855316039459262
1,0.6854042852221887,0.5503256880613261,0.7560529922338968,0.80306905370844
2,0.639452306765509,0.5994394636431406,0.7727729556875286,0.8092802338326635
3,0.6122121978523997,0.6246684079253396,0.7760621288259479,0.7932042382170259
4,0.600231874875355,0.5703713056999583,0.7832800365463682,0.803799780781878
5,0.5865289506342252,0.5443526361744071,0.7846505253540429,0.8162221410303252
6,0.5706279789567341,0.572113357137802,0.7856555504796711,0.8027036901717208
7,0.5712065057660678,0.54269024400517,0.7856555504796711,0.8114724150529777
8,0.5553070082608882,0.5431551957546279,0.7923252626770215,0.8111070515162587
9,0.5484065542665497,0.5678208414898362,0.7912288716308817,0.8125685056631348
10,0.5409953043342679,0.5757195275536803,0.7965280950205573,0.8187796857873584
11,0.5324079637624779,0.563505909643894,0.7949748743718593,0.8191450493240775
12,0.5185812847259789,0.611742208516875,0.8031064412973961,0.7975886006576544
13,0.5184617113951953,0.5565230621154919,0.7988122430333485,0.8154914139568871
14,0.5068973164198345,0.5985427543434293,0.8031064412973961,0.8118377785896967
15,0.5076670671430343,0.5828290657941685,0.7985381452718137,0.8275484106686153
16,0.5021945564374979,0.5778475217521191,0.8062128825947922,0.8206065034709537
17,0.500687243292005,0.6246890838929388,0.8030150753768844,0.8165875045670442
18,0.49251596295103733,0.5839644817765369,0.806486980356327,0.8125685056631348
19,0.4838902196481535,0.6167342907121015,0.8128825947921425,0.8100109609061016
20,0.4943908790979024,0.6071897171611009,0.8062128825947922,0.8089148702959444
21,0.4844613023341223,0.6078020813333433,0.8097761534947464,0.8191450493240775
22,0.47351076842744566,0.6139934108007786,0.8148926450433989,0.8290098648154914
23,0.4725204254324078,0.6530119448380415,0.8169026952946551,0.8308366824990866
24,0.47624127456033194,0.6750675827091517,0.810689812699863,0.8308366824990866
25,0.47446193052971675,0.5723097001224063,0.8153494746459571,0.8355864084764341
26,0.4535248680556133,0.6146196306271609,0.8266788487894016,0.825356229448301
27,0.45287298387236913,0.6584958562324214,0.8243033348560986,0.8308366824990866
28,0.45297828788051797,0.7252562031323133,0.8197350388305162,0.8363171355498721
29,0.45659295332675076,0.6256037180333637,0.8220191868433074,0.8344903178662769
